,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Troms??,EE,LV,LT,FRE
25-01-2015,213.61,214.27,214.27,214.27,216.23,214.27,209.41,216.23,211.23,211.23,211.23,217.2,217.2,217.2,214.27,292,292,
26-01-2015,216.99,216.12,216.12,216.12,216.12,281.58,210.7,216.12,211.79,211.47,211.79,216.8,216.8,216.8,281.58,320.67,320.67,
27-01-2015,221.35,216.15,216.15,216.74,222.01,310.26,203.48,228.58,216.56,216.33,216.56,217.63,217.63,217.63,310.26,339.52,339.52,
28-01-2015,207.07,206.93,206.93,206.93,206.93,241.88,195.38,206.93,205.16,203.65,205.16,208.64,208.64,208.64,241.88,305.4,305.4,
29-01-2015,206.51,204.53,204.53,204.53,204.53,237.52,199.14,200.39,204.53,204.53,204.53,209.4,209.4,209.4,237.52,291.08,291.08,
30-01-2015,226.61,222.57,222.57,225.69,225.69,250.49,225.69,225.69,225.69,225.69,225.69,223,223,223,250.49,289.35,289.35,
31-01-2015,208.82,208.7,208.7,208.7,208.7,208.7,208.7,208.7,208.7,208.7,208.7,209.72,209.72,209.72,208.7,285.17,285.17,
01-02-2015,207.16,206.57,206.57,206.57,206.57,206.57,206.57,206.57,206.57,206.57,206.57,211.68,211.68,211.68,206.57,220.27,220.27,
02-02-2015,245.23,226.42,226.42,258.81,261.88,259.83,241.5,261.88,241.5,241.5,241.5,228.95,228.95,228.95,259.83,301.28,301.28,
03-02-2015,277.47,246.39,246.39,283.33,292.76,284.21,283.33,292.76,282.45,282.45,282.45,246.39,246.39,246.39,284.21,312.5,312.5,
04-02-2015,321.65,317.77,317.77,320.88,331.23,317.77,325.12,331.23,320.88,320.88,320.88,317.77,317.77,317.77,317.77,328.9,328.9,
05-02-2015,271.55,238.81,238.81,283.56,303.78,283.56,292.01,303.78,283.56,283.56,283.56,238.81,238.81,238.81,283.56,315.13,315.13,
06-02-2015,230.47,221.75,221.75,242.41,268.05,246.83,241.78,268.05,228.68,228.68,228.68,221.75,221.75,221.75,246.83,296.67,298.22,
07-02-2015,199.11,198.16,198.16,198.16,198.16,200.89,177.36,198.16,198.16,198.16,198.16,209.69,209.69,209.69,200.89,236.93,236.93,
08-02-2015,199.32,199.56,199.56,199.56,199.56,204.79,108.24,141.41,198.04,197.98,198.04,214.65,214.65,214.65,204.79,251.04,251.04,
09-02-2015,211.66,211.19,211.19,211.19,214.28,296.41,180.91,214.28,206.26,206.26,206.26,214.12,214.12,214.12,296.41,315.92,315.92,
10-02-2015,212.36,211.91,211.91,211.91,234.98,248.19,208.36,234.98,208.36,208.36,208.36,213.25,213.25,213.25,248.19,301.27,301.27,
11-02-2015,239.7,216.6,216.6,243.49,297.82,254.11,298.59,300.12,212.35,212.35,212.35,216.6,216.6,216.6,254.11,297.63,297.63,
12-02-2015,243.97,212.95,212.95,274.12,312.36,283.12,309.81,312.36,209.52,209.52,209.52,212.95,212.95,212.95,283.12,317.47,317.47,
13-02-2015,233.49,212.3,212.3,267.65,274.16,330.42,243.97,274.16,210.15,210.15,210.15,212.3,212.3,212.3,330.42,348.8,348.8,
14-02-2015,204.75,203.92,203.92,203.92,207.48,233.09,203.88,222.43,203.88,203.88,203.78,204.37,204.37,204.62,233.09,298.79,298.79,
15-02-2015,196.87,196.27,196.27,196.27,196.27,213.59,196.27,196.27,196.27,196.27,196.27,197.54,197.54,197.54,213.59,287.54,287.54,
16-02-2015,207.7,205.62,205.62,205.62,205.62,276.46,205.09,205.62,205.04,205.04,205.04,205.67,205.67,205.67,276.46,294.44,294.44,
17-02-2015,218.22,207.38,207.38,234.39,279.99,283.69,246.71,279.99,208.36,208.36,208.36,207.38,207.38,207.38,283.69,305.6,305.6,
18-02-2015,203.66,203.45,203.45,203.45,205.72,273.23,201.05,205.72,201.05,201.05,201.05,203.45,203.45,203.45,273.23,307.79,307.79,
19-02-2015,194.47,193.27,193.27,193.27,193.27,255.5,193.27,193.27,193.27,193.27,193.27,194.28,194.28,194.28,255.5,290.33,290.33,
20-02-2015,192.25,191.08,191.08,191.08,191.08,241.47,191.08,191.08,191.08,191.08,191.08,192.17,192.17,192.17,241.47,296.13,296.13,
21-02-2015,193.08,192.89,192.89,192.89,192.89,202.52,192.89,192.89,192.89,192.89,192.89,192.89,192.89,192.89,202.52,280.63,280.63,
22-02-2015,191.03,190.94,190.94,190.94,190.94,194.55,190.94,190.94,190.94,190.94,190.94,191.2,191.2,191.2,194.55,266.06,266.06,
23-02-2015,191.49,190.67,190.67,190.67,190.67,206.71,176.82,190.67,190.67,190.67,190.67,194.64,194.64,194.64,206.71,228.62,228.62,
24-02-2015,194.19,193.18,193.18,193.18,193.18,249.94,193.18,193.18,193.18,193.18,193.18,193.25,193.25,193.25,249.94,298.3,298.3,
25-02-2015,198.92,196.59,196.59,196.59,220.91,228.04,221.56,227.4,195.7,195.7,195.7,197.45,197.45,197.45,228.04,312.62,312.62,
26-02-2015,196.54,196.3,196.3,196.3,209.6,219.12,195.93,209.6,194.96,194.96,194.96,196.39,196.39,196.39,219.12,313.97,313.97,
27-02-2015,192.33,191.14,191.14,191.14,204.88,231.13,192.06,204.88,191.69,191.69,191.69,192.16,192.16,192.16,231.13,296.31,296.31,
28-02-2015,188.85,188.79,188.79,188.79,210.09,192.27,186.38,210.09,188.79,188.79,188.79,189.49,189.49,189.49,244.14,302.78,302.78,
01-03-2015,170.33,166.82,166.82,166.82,166.82,166.82,98.31,127.52,173.96,173.96,173.96,176.34,176.34,176.34,166.82,220.57,220.57,
02-03-2015,188.96,187.91,187.91,187.91,187.91,223.04,187.9,187.91,187.91,187.91,187.91,188.55,188.55,188.55,223.04,280.8,280.8,
03-03-2015,192.23,191.03,191.03,191.03,191.03,244.1,190.88,191.03,190.88,190.88,190.88,191.03,191.03,191.03,244.1,261.78,261.78,
04-03-2015,198.37,196.67,196.67,196.67,196.67,252.51,196.65,196.67,196.42,196.42,196.42,196.67,196.67,196.67,252.51,279.89,279.89,
05-03-2015,213.82,203.88,203.88,224.95,253.6,268.02,229.51,254.4,204.52,204.52,204.52,203.88,203.88,203.88,268.02,276.44,276.44,
06-03-2015,196.51,194.96,194.96,207.74,207.74,234.77,202.02,207.74,194.27,194.27,194.27,194.96,194.96,194.96,234.77,237.79,237.79,
07-03-2015,168.29,168.29,168.29,168.29,168.29,168.29,168.29,168.29,168.29,168.29,168.29,168.29,168.29,168.29,176.04,181.25,181.25,
08-03-2015,158.78,158.48,158.48,158.48,158.48,158.48,153.68,158.48,158.48,158.48,158.48,161.17,161.17,161.17,158.48,158.48,158.48,
09-03-2015,188.83,188.09,188.09,189.25,242.98,189.25,229.74,245.6,187.4,187.4,187.4,188.09,188.09,188.09,250.19,260.58,260.58,
10-03-2015,183.02,181.82,181.82,181.82,181.82,242.44,181.82,181.82,181.82,181.82,181.82,182.37,182.37,182.37,245.09,254.75,254.75,
11-03-2015,194.34,191.32,191.32,203.09,224.58,241.65,226.54,226.86,185.13,185.13,185.13,191.57,191.57,191.57,241.76,247.06,247.06,
12-03-2015,204.04,200.44,200.44,249.1,250.6,256.56,252.86,252.97,188.61,188.61,188.61,200.44,200.44,200.44,256.56,261.77,261.77,
13-03-2015,192.08,189.58,189.58,196.48,199.27,242.75,196.48,199.27,188.02,188.02,188.02,189.61,189.61,189.61,242.75,244.86,244.86,
14-03-2015,181.42,180.89,180.89,180.89,180.89,191.11,180.89,180.89,180.89,180.89,180.89,184.11,184.11,184.03,194.33,194.33,194.33,
15-03-2015,179.94,179.42,179.42,179.42,179.42,180.27,179.42,179.42,179.42,179.42,179.42,187.01,187.01,184.72,184.16,187.74,187.74,
16-03-2015,183.84,182.24,182.24,182.24,182.24,249.56,181.79,182.24,181.79,181.79,181.79,182.24,182.24,182.24,249.56,273.72,273.72,
17-03-2015,188.45,188.32,188.32,188.32,188.32,232.68,187.74,188.45,184.17,184.17,184.17,188.32,188.32,188.32,232.68,252.19,252.19,
18-03-2015,198.97,204.81,204.81,204.81,216.84,215.84,261.47,261.47,186.8,186.8,186.8,204.81,204.81,204.81,257.56,263.66,263.66,
19-03-2015,197,193.94,193.94,199.88,214.98,206.98,251.65,251.65,190.5,190.5,190.5,193.94,193.94,193.94,228.99,236.03,236.03,
20-03-2015,197.04,199.85,199.85,218.54,218.54,230.37,229.02,229.24,189.21,189.21,189.21,199.85,199.85,199.85,230.37,253.4,253.4,
21-03-2015,180.51,180.96,180.96,180.96,180.96,181.14,179.83,180.96,179.83,179.83,179.83,181.81,181.81,181.81,181.14,210.72,210.72,
22-03-2015,181.37,181.74,181.74,181.74,181.74,181.74,181.73,182.01,181.09,181.09,181.09,181.74,181.74,181.74,181.74,248.93,248.93,
23-03-2015,186.57,185.91,185.91,185.91,185.91,236.66,184.88,187.66,185.04,185.04,185.04,185.91,185.91,185.91,236.66,238.72,238.72,
24-03-2015,210.66,198.19,198.19,219.61,227.01,232.95,307.06,307.58,190.76,190.76,190.76,198.19,198.19,198.19,238.92,238.93,238.93,
25-03-2015,205.36,199.55,199.55,202.17,202.17,247.92,201.72,204.97,189.3,189.3,189.3,199.55,199.55,199.55,248.18,248.18,248.18,
26-03-2015,193.55,192.48,192.48,192.48,193.96,220.7,208.81,251.93,190.61,190.61,184.59,192.53,192.53,192.53,221.38,221.38,221.38,
27-03-2015,199.36,200.95,200.95,208.09,208.09,224.99,207,232.25,203.66,203.66,183.76,200.95,200.95,200.95,230.92,252.92,252.92,
28-03-2015,182.27,186.65,186.65,186.65,186.65,201.42,177.09,186.65,179.47,179.47,179.47,186.65,186.65,186.65,236.46,265.28,265.28,
29-03-2015,173.19,173.83,173.83,173.83,173.83,173.83,162.88,173.83,173.36,173.36,173.36,174.08,174.08,174.08,190.34,191.48,191.48,
30-03-2015,183.13,188.36,188.36,188.36,188.36,258.87,160.53,188.36,178.52,178.51,178.52,188.36,188.36,188.36,258.87,259.39,259.39,
31-03-2015,186.23,189.22,189.22,189.22,189.22,244.8,167.79,189.22,182.07,182.06,182.07,189.22,189.22,189.22,244.8,245.23,245.23,
01-04-2015,187.23,189.92,189.92,189.92,189.92,283.57,137.14,177.67,185.27,185.27,185.27,189.92,189.92,189.92,283.57,289.9,289.9,
02-04-2015,187.68,188,188,188,188,242.67,184.74,188,186.13,186.13,186.13,188,188,188,246.11,264.77,269.35,
03-04-2015,184.78,184.77,184.77,184.77,184.77,189.39,183.1,184.77,184.77,184.77,184.77,184.81,184.81,184.81,209.06,276.26,327.17,
04-04-2015,191.03,191.02,191.02,191.02,191.02,191.02,191.02,191.02,191.02,191.02,191.02,191.02,191.02,191.02,191.02,192.48,192.48,
05-04-2015,188.49,188.49,188.49,188.49,188.49,188.49,188.49,188.49,188.49,188.49,188.49,188.49,188.49,188.49,209.11,244.8,244.8,
06-04-2015,189.73,189.72,189.72,189.72,189.72,190.02,189.72,189.72,189.72,189.72,189.72,189.72,189.72,189.72,237,259.11,259.11,
07-04-2015,194.78,192.83,192.83,192.83,192.83,259.12,192.83,192.83,192.83,192.83,192.83,192.83,192.83,192.83,259.12,279.05,283.3,
08-04-2015,192.41,190.84,190.84,190.84,190.84,218.99,230.91,231.26,190.84,190.84,190.84,190.84,190.84,190.84,218.99,263.25,279.06,
09-04-2015,199.47,192.25,192.25,192.66,215.39,219.14,289.8,289.8,192.42,192.42,192.42,192.25,192.25,192.25,219.14,265.98,275.64,
10-04-2015,196.97,196.05,196.05,213.82,213.82,248.7,236.45,236.45,186.82,186.82,186.82,199.22,199.22,198.56,248.7,293.21,379.88,
11-04-2015,184.19,184.55,184.55,184.55,184.55,203.53,181.45,184.55,181.79,181.79,181.79,191.23,191.23,190.94,203.53,257.86,257.86,
12-04-2015,163.36,162.19,162.19,162.19,162.19,162.19,50.58,123.62,162.56,162.56,162.56,182.57,182.57,182.57,162.19,174.85,174.85,
13-04-2015,179.44,178.01,178.01,178.01,178.01,235.68,149.61,178.01,177.09,177.09,177.09,191.1,191.1,191.1,235.68,261.51,267.26,
14-04-2015,197.37,229.09,229.09,232.41,232.41,241.9,193.28,232.41,188.58,188.58,188.58,230.15,230.15,205,241.9,269.59,271.41,
15-04-2015,192.37,191.56,191.56,191.56,191.56,247.84,173.08,191.56,191.56,189.03,189.29,193.71,193.71,193.71,247.84,259.7,259.7,
16-04-2015,190.34,188.18,188.18,188.18,188.18,250.25,188.13,188.18,188.18,188.13,188.14,189.39,189.39,189.39,250.25,254.58,254.58,
17-04-2015,193.98,191.76,191.76,191.83,191.83,241.78,191.82,191.83,191.83,191.82,191.83,191.99,191.99,191.52,241.78,245.48,245.48,
18-04-2015,180.54,180.48,180.48,180.48,183.47,180.48,182.04,183.67,180.48,180.48,180.48,180.64,180.64,180.64,180.48,185.86,185.86,
19-04-2015,176.24,175.36,175.36,175.36,175.36,175.36,175.36,176.06,175.36,175.36,175.36,179.74,179.74,179.5,175.36,217.3,217.3,
20-04-2015,193.01,186.98,186.98,189.28,189.28,253.65,189.94,189.28,189.94,189.94,189.94,192.13,192.13,191.54,253.65,253.65,253.65,
21-04-2015,186.4,183.8,183.8,183.8,183.8,244.47,183.8,183.8,183.8,183.8,183.8,186.13,186.13,186.13,244.47,246.44,246.44,
22-04-2015,183.2,180.46,180.46,199.71,199.98,238.39,210.28,210.28,180.41,180.41,180.41,182.5,182.5,182.5,238.39,250.42,250.42,
23-04-2015,166.21,162,162,162,162,218.78,162,162,162,162,162,175.46,175.46,175.46,218.78,236.62,236.62,
24-04-2015,186.03,181.98,181.98,201.85,201.85,255.73,211.53,210.95,179.92,179.92,179.92,181.98,181.98,181.98,255.73,257.16,257.16,
25-04-2015,172.71,172.14,172.14,172.14,172.14,209.69,172.14,172.14,172.14,172.14,172.14,176.42,176.42,173.89,209.69,219.96,219.96,
26-04-2015,168.4,164.26,164.26,164.26,164.26,164.36,177.43,177.43,164.4,164.4,164.4,173.53,173.53,173.53,164.36,182.12,182.12,
27-04-2015,221.27,223.98,223.98,223.98,224.07,249.18,253.27,253.27,199.29,194.21,194.21,223.99,223.99,200.74,249.18,294.52,294.52,
28-04-2015,218.52,218.61,218.61,218.61,235.82,218.61,238.04,238.04,203.97,196.1,196.1,218.63,218.63,202.18,218.61,318.17,318.17,
29-04-2015,197.68,197.03,197.03,197.03,197.03,224.37,197.03,197.03,197.03,197.03,197.03,197.04,197.04,195.91,224.37,364.77,364.77,
30-04-2015,204.03,195.3,195.3,195.3,195.3,293.12,211.2,211.2,195.25,195.25,195.25,197.95,197.95,197.58,293.12,416.64,416.64,
01-05-2015,184.72,183.73,183.73,183.73,183.73,183.73,183.73,183.73,183.73,183.73,183.73,190.07,190.07,190.07,183.73,187.41,187.41,
02-05-2015,180.17,175.43,175.43,175.43,175.43,175.43,175.27,175.43,177.72,177.72,177.72,193.35,193.35,188.86,221.88,221.88,221.88,
03-05-2015,178.46,174.94,174.94,174.94,174.94,174.94,157.35,171.53,174.94,174.94,174.94,191.81,191.81,191.33,258.45,258.45,258.45,
04-05-2015,203.49,200.68,200.68,200.68,200.68,201.43,186.94,196.2,201,201,201,206.66,206.66,206.49,275.77,275.77,275.77,
05-05-2015,192.29,192.67,192.67,192.67,192.67,192.67,190.62,192.67,190.86,190.86,190.86,196.65,196.65,194.73,253.2,265.03,265.03,
06-05-2015,181.5,177.67,177.67,177.67,177.67,178.19,177.4,178.08,177.4,177.4,177.4,187.17,187.17,185.95,245.82,269.39,269.39,
07-05-2015,174.7,164.14,164.14,164.14,164.14,262.61,164.14,164.14,163.81,163.81,163.81,190.02,190.02,178.39,298.52,325.84,325.84,
08-05-2015,182.85,193.55,193.55,193.55,193.55,221.57,203.2,203.2,174,174,174,194.42,194.42,181.48,256.08,270.96,270.96,
09-05-2015,150.19,141.89,141.89,141.89,141.89,141.89,141.89,141.89,141.89,141.89,141.89,173.1,173.1,161.94,232.6,232.6,232.6,
10-05-2015,140.37,132.27,132.27,132.27,132.27,132.27,113.19,132.27,132.27,132.27,132.27,163.12,163.12,163.12,219.13,219.13,219.13,
11-05-2015,172.6,188.6,188.6,188.93,188.93,193.41,165.08,188.93,166.37,166.37,166.37,198.97,198.97,174.47,254.66,260.02,260.02,
12-05-2015,173.39,181.58,181.58,203.21,203.21,217.56,197.34,203.21,163.9,163.9,163.9,189.98,189.98,177,234.62,259.36,259.36,
13-05-2015,153.64,147.91,147.91,147.91,147.91,228.54,147.13,147.91,148.28,148.28,148.28,177.01,177.01,163.87,258.22,263.48,263.48,
14-05-2015,140.91,134.13,134.13,134.13,134.13,134.13,135.16,135.16,134.13,134.13,134.13,169.21,169.21,158,267.1,287.77,287.77,
15-05-2015,164.04,163.77,163.77,163.77,163.77,163.77,165.01,165.01,163.77,163.77,163.77,165.5,165.5,165.5,267.85,275.25,275.25,
16-05-2015,149.37,147.37,147.37,147.37,147.37,147.37,147.37,147.37,147.37,147.37,147.37,156.13,156.13,156.13,274,276.27,276.27,
17-05-2015,105.54,89,89,89,89,89,81.59,89,90.16,90.16,90.16,156.45,156.45,156.45,264.05,264.05,264.05,
18-05-2015,196.23,194.57,194.57,198.07,198.07,238.33,198.07,202.09,188.51,188.51,188.51,196.6,196.6,184.42,290.31,297.36,297.36,
19-05-2015,187.23,183.08,183.08,184.66,184.66,245.36,173.5,189.51,184.66,184.66,184.66,186.13,186.13,180.19,310.63,330.64,330.64,
20-05-2015,209.48,228.27,228.27,231.27,232.7,241.85,231.27,247.97,187.18,187.18,187.18,213.51,213.51,185.09,241.85,321.55,321.55,
21-05-2015,216.33,234.5,234.5,234.5,234.5,239.07,234.5,234.84,196.73,196.73,196.73,231.8,231.8,188.01,239.07,331.72,331.72,
22-05-2015,172.18,170.95,170.95,172.64,182,216.05,172.65,192.03,169.89,169.89,169.89,170.95,170.95,169.36,216.05,368.53,368.53,
23-05-2015,135.91,135.91,135.91,135.91,135.91,135.91,135.91,135.91,135.91,135.91,135.91,135.91,135.91,135.91,155.31,216.45,216.45,
24-05-2015,147.41,147.39,147.39,147.39,148.5,147.39,147.39,148.5,147.39,147.39,147.39,147.39,147.39,147.39,250.44,267.9,267.9,
25-05-2015,165.98,163.93,163.93,163.93,177.35,262.8,163.93,177.35,161.75,161.75,161.75,163.93,163.93,163.93,263.8,332.6,332.6,
26-05-2015,182.26,195.28,195.28,195.28,239.89,253.53,175.85,239.89,171.94,171.94,171.94,195.28,195.28,179.21,253.76,360.73,360.73,
27-05-2015,169.07,178.77,178.77,178.77,228.13,212.71,183.96,228.13,160.83,160.83,160.83,179.91,179.91,171.39,221.13,349.79,349.79,
28-05-2015,170.55,171.44,171.44,171.44,185.91,257.31,165.61,185.91,164.88,164.88,164.88,171.44,171.44,168.21,257.31,364.74,364.74,
29-05-2015,158.03,155.03,155.03,155.03,206.73,261.39,155.02,206.73,154.06,154.06,154.06,155.03,155.03,152.84,261.73,379.38,379.38,
30-05-2015,125.08,124.75,124.75,124.75,124.75,130.52,124.75,124.75,124.75,124.75,124.75,124.75,124.75,124.75,132.72,160.24,160.24,
31-05-2015,100.77,100.73,100.73,100.73,100.73,102.76,100.73,100.73,100.73,100.73,100.73,100.73,100.73,100.73,111.17,146.98,146.98,
01-06-2015,145.2,140.62,140.62,140.62,225.01,236.52,155.04,225.01,140.62,140.62,140.62,139.99,139.99,136.54,236.52,374.1,374.1,
02-06-2015,122.86,125.02,125.02,125.02,125.02,235.09,120.3,125.02,120.3,120.3,120.3,125.02,125.02,120.59,235.09,402.97,402.97,
03-06-2015,117.64,114.52,114.52,114.52,114.52,221.81,114.23,114.52,114.23,114.23,114.23,114.52,114.52,114.52,221.81,309.88,309.88,
04-06-2015,139.91,140.32,140.32,144.7,175.03,187.79,166.35,177.94,137.33,137.33,137.33,140.32,140.32,121.31,187.79,351.75,351.75,
05-06-2015,128.06,131.49,131.49,131.95,157.03,151.28,131.95,157.03,127.16,127.16,127.16,131.49,131.49,113.66,195.42,353.79,353.79,
06-06-2015,75.28,74.97,74.97,74.97,74.97,74.97,74.97,144.64,74.97,74.97,74.97,74.97,74.97,74.97,147.85,323.53,323.53,
07-06-2015,62.57,62.35,62.35,62.35,62.35,62.35,62.35,79.33,62.35,62.35,62.35,64.43,64.43,64.43,64.84,305.63,305.63,
08-06-2015,131.82,139.04,139.04,139.04,208.77,187.42,147.11,208.77,124.57,124.57,124.57,139.04,139.04,119.2,188.32,373.98,373.98,
09-06-2015,138.38,152.06,152.06,152.06,253.62,152.06,200.13,253.62,125.93,125.93,125.93,137.15,137.15,128.48,304.5,355.05,355.05,
10-06-2015,128.49,125.22,125.22,125.22,220.62,125.22,157.53,224.98,125.18,125.18,125.18,125.22,125.22,124.13,258.43,339.83,339.83,
11-06-2015,122.9,119.99,119.99,119.99,234.18,119.99,194.77,234.64,113.85,113.85,113.85,119.99,119.99,109.42,236.43,323.94,323.94,
12-06-2015,112.51,107.47,107.47,107.47,218.73,111.84,218.08,224,106.64,106.64,106.64,107.47,107.47,102.36,260.82,280.63,280.63,
13-06-2015,74.16,73.82,73.82,73.82,98.44,85.4,98.44,98.44,73.82,73.82,73.82,73.82,73.82,73.82,124.19,307.76,307.76,
14-06-2015,59.77,59.77,59.77,59.77,59.77,59.77,59.77,59.77,59.77,59.77,59.77,59.77,59.77,59.77,105.23,246.74,246.74,
15-06-2015,94.75,87.22,87.22,87.22,147.01,192.12,124.82,147.01,87.22,87.22,87.22,87.22,87.22,87.22,200.16,246.58,246.58,
16-06-2015,107.79,96.76,96.76,162.05,236.76,174.38,184.27,237.12,101.3,101.3,101.3,96.76,96.76,96.1,174.38,276.17,276.17,
17-06-2015,107.37,103.66,103.66,103.66,136.67,156.58,127.9,141.36,103.66,103.66,103.66,103.66,103.66,100.95,159.49,317.64,317.64,
18-06-2015,82.76,82.62,82.62,82.62,86.95,86.29,82.62,86.95,82.62,82.62,82.62,82.75,82.75,82.75,218.98,300.67,300.67,
19-06-2015,78.64,78.39,78.39,78.39,78.39,78.39,78.39,78.39,78.39,78.39,78.39,80.84,80.84,80.84,250.25,337.05,337.05,
20-06-2015,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,114.59,303.84,303.84,
21-06-2015,85.23,84.14,84.14,84.14,101.95,84.14,132.45,132.45,84.14,84.14,84.14,84.14,84.14,84.14,167.36,275.07,275.07,
22-06-2015,128.85,172.13,172.13,172.13,222.56,254.2,223.25,223.25,104.52,104.52,104.52,135.67,135.67,102.69,266.3,336.22,336.22,
23-06-2015,121.66,175.12,175.12,175.12,189.36,238.68,182.77,189.58,97.42,97.42,97.42,175.12,175.12,93.75,238.68,331.67,331.67,
24-06-2015,88.29,89.91,89.91,89.91,89.91,205.9,83.2,89.91,83.2,83.2,83.2,92.33,92.33,87.67,205.9,227.99,227.99,
25-06-2015,98.28,100.08,100.08,100.08,111.53,261.08,125.24,125.24,86.05,86.05,86.05,100.84,100.84,83.28,261.08,325.45,325.45,
26-06-2015,128.74,129.33,129.33,154.7,212.15,282.68,222.81,223.27,103.11,103.11,103.11,129.33,129.33,96.15,282.68,347.66,347.66,
27-06-2015,114.41,113.03,113.03,113.03,166.34,113.03,172.57,172.57,113.03,113.03,113.03,113.03,113.03,113.03,147.05,267.96,267.96,
28-06-2015,112.8,113.9,113.9,113.9,113.9,118.08,131.15,131.15,109.48,109.48,109.48,113.9,113.9,110.84,155.46,297.81,297.81,
29-06-2015,127.93,139.2,139.2,139.2,172.82,224.39,205.98,205.98,110.16,110.16,110.16,138.76,138.76,113.53,224.39,352.47,352.47,
30-06-2015,123.61,123.94,123.94,123.94,143.53,264.97,233.33,233.33,114.47,114.47,114.47,123.94,123.94,112.72,266.7,383.78,383.78,
01-07-2015,118.93,123.64,123.64,123.64,151.61,228.07,174.82,174.82,103.72,103.72,103.72,123.64,123.64,116.43,228.07,346.27,346.27,
02-07-2015,87.62,85.56,85.56,85.56,85.56,221.74,85.56,85.56,85.56,85.56,85.56,85.76,85.76,87.69,221.74,353.85,353.85,
